models=Pursue	selected=Random Walk	walkingtime=20	selected=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	maxpausetime=10	minspeed=5	selected=squarereflect	height=500	width=500	maxspeed=10	selected=NullPowerAlgorithm	locationinitializer=random initializer	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	scale=1.0	params=0.0,1.0,	bias=0.0	distribution=jsc.distributions.Uniform	adr=0.45	maps=squarereflect	height=500	width=500	leadersmodeloffset=0.0,0.0,	sdr=0.15	pergrouprange=false	extratraces=true	groupsizes=1,1,1,1,1,1,1,	rangealgorithms=NullPowerAlgorithm	maxinitialdistance=0	filenamegenerator=simple	seed=outputtrace	numberiterate=true	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	isinput=false	fileaddress=output	multiple=false	tracewriter=text	nodenumber=10	maxsimulationtime=1000
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
19	6	121	163	8.84	1.96	0	6	true
19	7	209	15	8.04	3.88	0	6	false
19	8	185	12	8.54	1.96	0	6	false
19	9	190	25	9.48	0.72	0	6	false
20	0	487	397	7.72	4.71	0	0	true
20	1	230	250	8.06	4.87	0	1	true
20	2	245	388	6.83	1.92	0	2	true
20	3	240	207	5.86	3.8	0	3	true
20	4	178	115	8.11	0.07	0	4	true
20	5	193	376	9.97	6.02	0	5	true
20	6	118	171	8.84	1.96	0	6	true
20	7	203	10	8.09	3.34	0	6	false
20	8	182	20	9.94	4.22	0	6	false
20	9	197	31	7.96	3.09	0	6	false
21	0	492	402	6.65	0.81	0	0	true
21	1	237	245	7.88	5.69	0	1	true
21	2	238	385	7.5	3.58	0	2	true
21	3	243	214	7.97	1.2	0	3	true
21	4	182	122	8.21	1.08	0	4	true
21	5	192	383	7.24	1.67	0	5	true
21	6	120	166	5.92	5.09	0	6	true
21	7	195	8	5.42	3.21	0	6	false
21	8	177	11	5.46	4.6	0	6	false
21	9	189	31	6.3	3.2	0	6	false
22	0	496	407	6.65	0.81	0	0	true
22	1	243	241	7.88	5.69	0	1	true
22	2	231	382	7.5	3.58	0	2	true
22	3	246	221	7.97	1.2	0	3	true
22	4	186	130	8.21	1.08	0	4	true
22	5	191	390	7.24	1.67	0	5	true
22	6	122	160	5.92	5.09	0	6	true
22	7	190	8	6.26	0.1	0	6	false
22	8	177	6	5.44	3.34	0	6	false
22	9	183	31	5.83	0.89	0	6	false
23	0	498	412	6.65	2.33	0	0	true
23	1	250	236	7.88	5.69	0	1	true
23	2	225	379	7.5	3.58	0	2	true
23	3	248	229	7.97	1.2	0	3	true
23	4	190	137	8.21	1.08	0	4	true
23	5	191	398	7.24	1.67	0	5	true
23	6	124	155	5.92	5.09	0	6	true
23	7	196	8	6.07	2.43	0	6	false
23	8	171	5	6.64	-0.93	0	6	false
23	9	186	35	6.74	1.74	0	6	false
24	0	494	416	6.65	2.33	0	0	true
24	1	256	232	7.88	5.69	0	1	true
24	2	218	375	7.5	3.58	0	2	true
24	3	251	236	7.97	1.2	0	3	true
24	4	194	144	8.21	1.08	0	4	true
24	5	190	405	7.24	1.67	0	5	true
24	6	126	149	5.92	5.09	0	6	true
24	7	192	12	5.57	-0.4	0	6	false
24	8	175	0	5.47	2.78	0	6	false
24	9	185	42	6.05	0.32	0	6	false
25	0	489	421	6.65	2.33	0	0	true
25	1	263	227	7.88	5.69	0	1	true
25	2	211	372	7.5	3.58	0	2	true
25	3	254	244	7.97	1.2	0	3	true
25	4	198	151	8.21	1.08	0	4	true
25	5	189	412	7.24	1.67	0	5	true
25	6	128	144	5.92	5.09	0	6	true
25	7	197	10	5.64	2.6	0	6	false
25	8	170	2	5.79	2.66	0	6	false
25	9	191	44	6.34	-0.53	0	6	false
26	0	484	426	6.65	2.33	0	0	true
26	1	269	223	7.88	5.69	0	1	true
26	2	204	369	7.5	3.58	0	2	true
26	3	257	251	7.97	1.2	0	3	true
26	4	202	159	8.21	1.08	0	4	true
26	5	188	419	7.24	1.67	0	5	true
26	6	131	138	5.92	5.09	0	6	true
26	7	192	13	5.59	3.81	0	6	false
26	8	165	4	5.33	3.46	0	6	false
26	9	196	41	5.53	2.3	0	6	false
27	0	480	431	6.65	2.33	0	0	true
27	1	276	218	7.88	5.69	0	1	true
27	2	197	366	7.5	3.58	0	2	true
27	3	260	258	7.97	1.2	0	3	true
27	4	205	166	8.21	1.08	0	4	true
27	5	188	426	7.24	1.67	0	5	true
27	6	133	133	5.92	5.09	0	6	true
27	7	187	10	5.13	0.56	0	6	false
27	8	160	3	5.88	3.32	0	6	false
27	9	193	45	6.34	3.04	0	6	false
28	0	475	436	6.65	2.33	0	0	true
28	1	282	214	7.88	5.69	0	1	true
28	2	191	363	7.5	3.58	0	2	true
28	3	263	266	7.97	1.2	0	3	true
28	4	209	173	8.21	1.08	0	4	true
28	5	187	434	7.24	1.67	0	5	true
28	6	135	127	5.92	5.09	0	6	true
28	7	192	12	5.17	1.66	0	6	false
28	8	154	2	5.36	0.6	0	6	false
28	9	186	45	5.14	1.67	0	6	false
29	0	471	441	6.65	2.33	0	0	true
29	1	289	210	7.88	5.69	0	1	true
29	2	184	359	7.5	3.58	0	2	true
29	3	266	273	7.97	1.2	0	3	true
29	4	213	180	8.21	1.08	0	4	true
29	5	186	441	7.24	1.67	0	5	true
29	6	137	122	5.92	5.09	0	6	true
29	7	191	17	6.67	0.73	0	6	false
29	8	159	5	6.1	0.33	0	6	false
29	9	186	51	5.84	4.02	0	6	false
30	0	466	445	6.65	2.33	0	0	true
30	1	295	205	7.88	5.69	0	1	true
30	2	177	356	7.5	3.58	0	2	true
30	3	269	281	7.97	1.2	0	3	true
30	4	217	188	8.21	1.08	0	4	true
30	5	186	448	7.24	1.67	0	5	true
30	6	139	116	5.92	5.09	0	6	true
30	7	196	22	6.71	0.7	0	6	false
30	8	165	7	6.13	-0.26	0	6	false
30	9	182	46	6.09	4.43	0	6	false
31	0	462	450	6.65	2.33	0	0	true
31	1	302	201	7.88	5.69	0	1	true
31	2	170	353	7.5	3.58	0	2	true
31	3	272	288	7.97	1.2	0	3	true
31	4	221	195	8.21	1.08	0	4	true
31	5	185	455	7.24	1.67	0	5	true
31	6	141	111	5.92	5.09	0	6	true
31	7	201	26	5.64	0.01	0	6	false
31	8	170	5	5.81	0.31	0	6	false
31	9	180	40	6.7	0.21	0	6	false
32	0	457	455	6.65	2.33	0	0	true
32	1	308	196	7.88	5.69	0	1	true
32	2	163	350	7.5	3.58	0	2	true
32	3	275	296	7.97	1.2	0	3	true
32	4	225	202	8.21	1.08	0	4	true
32	5	184	462	7.24	1.67	0	5	true
32	6	144	105	5.92	5.09	0	6	true
32	7	207	26	6.59	1.84	0	6	false
32	8	176	7	6.41	2.68	0	6	false
32	9	187	42	5.95	2.61	0	6	false
33	0	452	460	6.65	2.33	0	0	true
33	1	315	192	7.88	5.69	0	1	true
33	2	157	347	7.5	3.58	0	2	true
33	3	278	303	7.97	1.2	0	3	true
33	4	229	209	8.21	1.08	0	4	true
33	5	184	470	7.24	1.67	0	5	true
33	6	146	100	5.92	5.09	0	6	true
33	7	205	33	5.58	3.36	0	6	false
33	8	170	10	6.46	1.18	0	6	false
33	9	182	45	6.37	3.34	0	6	false
34	0	448	465	6.65	2.33	0	0	true
34	1	321	187	7.88	5.69	0	1	true
34	2	150	344	7.5	3.58	0	2	true
34	3	281	310	7.97	1.2	0	3	true
34	4	233	217	8.21	1.08	0	4	true
34	5	183	477	7.24	1.67	0	5	true
34	6	148	94	5.92	5.09	0	6	true
34	7	200	31	5.37	3.17	0	6	false
34	8	173	16	5.78	-0.13	0	6	false
34	9	176	43	6.31	2.95	0	6	false
35	0	443	470	6.65	2.33	0	0	true
35	1	328	183	7.88	5.69	0	1	true
35	2	143	340	7.5	3.58	0	2	true
35	3	283	318	7.97	1.2	0	3	true
35	4	237	224	8.21	1.08	0	4	true
35	5	182	484	7.24	1.67	0	5	true
35	6	150	89	5.92	5.09	0	6	true
35	7	194	31	5.91	-0.43	0	6	false
35	8	178	15	6.29	3.9	0	6	false
35	9	169	45	5.83	2.21	0	6	false
36	0	439	474	6.65	2.33	0	0	true
36	1	334	179	7.88	5.69	0	1	true
36	2	136	337	7.5	3.58	0	2	true
36	3	286	325	7.97	1.2	0	3	true
36	4	240	231	8.21	1.08	0	4	true
36	5	181	491	7.24	1.67	0	5	true
36	6	152	83	5.92	5.09	0	6	true
36	7	200	29	5.3	2	0	6	false
36	8	174	11	6.01	0.36	0	6	false
36	9	166	49	6.07	1.81	0	6	false
37	0	434	479	6.65	2.33	0	0	true
37	1	341	174	7.88	5.69	0	1	true
37	2	129	334	7.5	3.58	0	2	true
37	3	289	333	7.97	1.2	0	3	true
37	4	244	238	8.21	1.08	0	4	true
37	5	181	499	7.24	1.67	0	5	true
37	6	154	78	5.92	5.09	0	6	true
37	7	198	34	6.7	3.38	0	6	false
37	8	180	13	6.78	3.59	0	6	false
37	9	164	55	5.86	3.38	0	6	false
38	0	430	484	6.65	2.33	0	0	true
38	1	347	170	7.88	5.69	0	1	true
38	2	123	331	7.5	3.58	0	2	true
38	3	292	340	7.97	1.2	0	3	true
38	4	248	245	8.21	1.08	0	4	true
38	5	180	493	7.24	4.62	0	5	true
38	6	157	72	5.92	5.09	0	6	true
38	7	191	32	6.25	1.16	0	6	false
38	8	173	10	5.47	3.29	0	6	false
38	9	159	54	6.5	-0.66	0	6	false
39	0	425	489	6.65	2.33	0	0	true
39	1	354	165	7.88	5.69	0	1	true
39	2	116	328	7.5	3.58	0	2	true
39	3	295	348	7.97	1.2	0	3	true
39	4	252	253	8.21	1.08	0	4	true
39	5	179	486	7.24	4.62	0	5	true
39	6	159	67	5.92	5.09	0	6	true
39	7	194	38	6.76	2.38	0	6	false
39	8	168	9	6.48	-0.81	0	6	false
39	9	164	50	5.93	4.08	0	6	false
40	0	420	494	6.65	2.33	0	0	true
40	1	361	161	7.88	5.69	0	1	true
40	2	109	325	7.5	3.58	0	2	true
40	3	298	355	7.97	1.2	0	3	true
40	4	256	260	8.21	1.08	0	4	true
40	5	179	479	7.24	4.62	0	5	true
40	6	161	61	5.92	5.09	0	6	true
40	7	189	42	5.5	1.93	0	6	false
40	8	172	4	6.51	0.49	0	6	false
40	9	160	45	6.06	4.17	0	6	false
41	0	412	496	8.3	2.91	0	0	true
41	1	362	153	7.58	4.87	0	1	true
41	2	108	315	9.84	4.64	0	2	true
41	3	292	359	7.4	2.53	0	3	true
41	4	250	254	8.47	3.98	0	4	true
41	5	173	480	5.51	2.91	0	5	true
41	6	169	61	8.47	6.28	0	6	true
41	7	187	48	7.31	1.69	0	6	false
41	8	178	7	8.9	4	0	6	false
41	9	157	40	9.58	-0.24	0	6	false
42	0	404	498	8.3	2.91	0	0	true
42	1	363	146	7.58	4.87	0	1	true
42	2	108	305	9.84	4.64	0	2	true
42	3	286	364	7.4	2.53	0	3	true
42	4	245	247	8.47	3.98	0	4	true
42	5	168	481	5.51	2.91	0	5	true
42	6	178	61	8.47	6.28	0	6	true
42	7	186	55	9.24	3.52	0	6	false
42	8	172	1	9.69	-1.2	0	6	false
42	9	166	37	9.44	3.41	0	6	false
43	0	396	499	8.3	3.37	0	0	true
43	1	364	138	7.58	4.87	0	1	true
43	2	107	295	9.84	4.64	0	2	true
43	3	280	368	7.4	2.53	0	3	true
43	4	239	241	8.47	3.98	0	4	true
43	5	163	483	5.51	2.91	0	5	true
43	6	186	61	8.47	6.28	0	6	true
43	7	177	51	9.49	1	0	6	false
43	8	176	7	8.35	3.17	0	6	false
43	9	157	35	7.83	1.92	0	6	false
44	0	388	498	8.3	3.37	0	0	true
44	1	365	131	7.58	4.87	0	1	true
44	2	106	285	9.84	4.64	0	2	true
44	3	274	372	7.4	2.53	0	3	true
44	4	233	235	8.47	3.98	0	4	true
44	5	157	484	5.51	2.91	0	5	true
44	6	195	61	8.47	6.28	0	6	true
44	7	182	59	8.14	2.91	0	6	false
44	8	168	7	7.26	-0.15	0	6	false
44	9	155	42	7.42	0.06	0	6	false
45	0	380	496	8.3	3.37	0	0	true
45	1	367	123	7.58	4.87	0	1	true
45	2	106	275	9.84	4.64	0	2	true
45	3	268	376	7.4	2.53	0	3	true
45	4	228	228	8.47	3.98	0	4	true
45	5	152	485	5.51	2.91	0	5	true
45	6	203	61	8.47	6.28	0	6	true
45	7	175	61	8.31	7.69	0	6	false
45	8	175	6	8.56	-1.21	0	6	false
45	9	162	43	9.36	0.36	0	6	false
46	0	372	494	8.3	3.37	0	0	true
46	1	368	116	7.58	4.87	0	1	true
46	2	105	266	9.84	4.64	0	2	true
46	3	262	381	7.4	2.53	0	3	true
46	4	222	222	8.47	3.98	0	4	true
46	5	146	486	5.51	2.91	0	5	true
46	6	212	61	8.47	6.28	0	6	true
46	7	176	69	8.1	8.23	0	6	false
46	8	178	1	8.92	0.66	0	6	false
46	9	171	46	7.65	2.54	0	6	false
47	0	364	492	8.3	3.37	0	0	true
47	1	369	108	7.58	4.87	0	1	true
47	2	104	256	9.84	4.64	0	2	true
47	3	256	385	7.4	2.53	0	3	true
47	4	216	216	8.47	3.98	0	4	true
47	5	141	488	5.51	2.91	0	5	true
47	6	220	61	8.47	6.28	0	6	true
47	7	173	77	8.08	6.32	0	6	false
47	8	185	6	7.66	-0.24	0	6	false
47	9	165	50	9.02	-0.84	0	6	false
48	0	356	490	8.3	3.37	0	0	true
48	1	370	101	7.58	4.87	0	1	true
48	2	103	246	9.84	4.64	0	2	true
48	3	250	389	7.4	2.53	0	3	true
48	4	211	209	8.47	3.98	0	4	true
48	5	136	489	5.51	2.91	0	5	true
48	6	229	61	8.47	6.28	0	6	true
48	7	181	77	9.05	4.93	0	6	false
48	8	192	4	8.58	0.2	0	6	false
48	9	171	44	8.1	-0.61	0	6	false
